,Unnamed: 0,code,3月3日,3月10日,3月17日,3月24日,3月31日,4月7日,4月14日,4月21日,4月28日,5月5日,5月12日,5月19日,5月26日,6月2日,6月9日,6月16日,6月23日,6月30日,7月7日,7月14日,7月21日,7月28日,8月4日,8月11日,8月18日,8月25日,9月1日,9月8日,9月15日,9月22日,3月4日,3月11日,3月18日,3月25日,4月1日,4月8日,4月15日,4月22日,4月29日,5月6日,5月13日,5月20日,5月27日,6月3日,6月10日,6月17日,6月24日,7月1日,7月8日,7月15日,7月22日,7月29日,8月5日,8月12日,8月19日,8月26日,9月2日,9月9日,9月16日,9月23日,1_day,2_day,3_day,4_day,5_day,6_day,7_day,8_day,9_day,10_day,11_day,12_day,13_day,14_day,15_day,16_day,17_day,18_day,19_day,20_day,21_day,22_day,23_day,24_day,25_day,26_day,27_day,28_day,29_day,30_day
10,10,600104,28.68,26.49,25.78,26.24,26.07,28.61,28.3,29.63,26.58,27.38,26.33,25.48,23.47,23.95,24.56,24.3,25.26,25.5,26.97,23.9,23.71,24.35,24.18,24.38,24.54,24.6,25.08,25.94,25.14,24.66,28.6146856,26.4878593,25.71625397,26.18912704,25.96416427,28.58276692,28.27852678,29.60350341,26.55042637,27.35693569,26.22735504,25.47765075,23.38956108,23.90937708,24.51532446,24.25376386,25.20393856,25.448575199999997,26.95445293,23.84279433,23.6581923,24.29831517,24.16317927,24.32970591,24.50314959,24.53550065,25.02270732,25.86185827,25.11588091,24.63053097,0.997722649930265,0.999919188372971,0.9707910143450359,0.998061243902439,0.9959403248945148,0.9990481272282419,0.999241228975265,0.9991057512656092,0.9988873728367195,0.9991576219868518,0.9961015966578048,0.9999078002354788,0.9965726919471667,0.9983038446764092,0.9981809633550489,0.9980972781893004,0.9977806239113223,0.9979833411764705,1.059173361108248,0.9976064573221758,0.9978149430619991,0.9978774197125255,0.999304353598015,0.9979370758818705,0.9984983533007336,0.997378075203252,0.9977156028708134,0.9969875971472628,0.999040608989658,0.9988049866180048
11,11,600196,28.71,27.58,29.42,29.76,29.78,29.61,30.1,29.72,28.33,29.1,26.5,25.87,25.1,24.74,22.45,23.28,25.22,25.3,26.81,27.13,26.15,27.06,24.9,24.91,25.91,27.5,27.65,28.7,27.45,28.0,28.63141205,27.49970721,29.3453003,29.707413800000005,29.71080077,29.54398885,30.14782937,29.69317479,28.30646548,29.00886584,26.47868564,25.77119755,25.03824446,24.67863602,22.41815967,23.16164466,25.08396504,25.21692183,26.75110347,27.07910309,26.108719100000002,27.00154713,24.84974583,24.79743706,25.82780659,27.43032184,27.59718451,28.62131821,27.45928534,27.92671847,0.9972626976663184,0.9970887313270487,1.064006537345903,0.9982329905913979,0.9976763186702484,0.9977706467409659,1.0015890156146179,0.9990974020861373,0.9991692721496648,0.9968682419243985,0.9991956845283019,0.9961808098183224,0.9975396199203187,0.997519645109135,0.9985817224944321,0.9949160077319588,0.9946060681998414,0.9967162778656127,1.0608393701000738,0.998123962034648,0.998421380497132,0.9978398791574279,0.9979817602409639,0.9954812147731834,0.9968277340795061,0.9974662487272727,0.9980898556962027,0.9972584742160279,1.0003382637522769,0.9973828025
12,12,600276,72.0,69.66,71.52,73.13,65.42,66.14,64.62,64.45,62.33,65.75,64.12,62.76,60.07,62.16,57.98,61.28,65.9,66.0,67.4,66.45,66.02,66.82,66.04,66.88,69.12,76.6,80.05,80.11,78.6,81.5,71.74627951,69.79091176,71.43080697,73.46795251,65.62182222,66.18531750000001,64.56206738,64.17884836,62.3972701,65.51099248,63.87555029,62.85692634,59.73557111,62.08832979,58.01700154,60.91925308,66.07162238,65.673924,67.66974096,66.15736479,66.25556192,66.57891095,66.09378016,66.58422699,69.35580438,76.50035241,80.18830483,80.13119779,78.51961039,81.49865434,0.9964761043055554,1.0018792960091876,1.0254207144702843,1.0046212568029538,1.0030850232344848,1.000685175385546,0.9991034877746827,0.9957928372381691,1.0010792571795284,0.9963649046387832,0.9961876214909544,1.0015443967495221,0.9944326803728983,0.9988470043436295,1.0006381776474647,0.9941131377284594,1.002604284977238,0.9950594545454545,1.0303897930630732,0.9955961593679458,1.0035680387761285,0.9963919627357078,1.0008143573591761,0.9955775566686604,1.0034115217013888,0.9986991176240211,1.0017277305434105,1.0002646085382598,0.9989772314249364,0.9999834888343558
13,13,600309,42.08,37.49,41.03,41.56,45.53,47.43,46.36,47.32,43.99,45.23,42.1,39.82,40.14,38.04,37.81,38.84,41.98,42.79,43.48,42.1,40.52,43.41,43.5,42.94,42.6,42.91,44.71,46.7,46.89,45.17,42.0642221,37.38490583,40.988729799999994,41.51564259,45.53655081,47.46483995,46.37415814,47.34673961,43.97677432,45.23482856,42.04766043,39.76947137,40.06505545,37.96728673,37.7360637,38.75600844,41.94764731,42.74788699,43.45777186,42.05779604,40.46142484,43.37971117,43.4704018,42.91803385,42.54503026,42.8919348,44.68512147,46.70546451,46.89478874,45.14683843,0.999625049904943,0.9971967412643371,1.0933243478260868,0.9989326898460057,1.0001438789808916,1.0007345551338815,1.0003053955996548,1.0005650805156383,0.9996993480336439,1.000106755693124,0.9987567798099762,0.9987310740833751,0.9981329210264076,0.9980885049947423,0.9980445305474742,0.9978374984552008,0.9992293308718438,0.9990158212199112,1.016606314837645,0.9989975306413301,0.9985544136229022,0.9993022614604931,0.9993195816091953,0.9994884455053564,0.9987096305164318,0.999578997902587,0.9994435578170431,1.0001170130620984,1.0001021271059929,0.9994872355545716
14,14,600340,31.04,28.74,30.72,31.27,31.02,31.78,32.52,33.69,30.58,31.42,29.74,30.71,28.8,29.63,29.3,29.98,30.81,32.57,32.72,30.4,30.88,31.0,28.23,26.44,26.05,27.4,26.68,27.42,28.16,27.8,31.146917600000002,28.24532814,30.68028202,31.30546333,31.0182232,31.73747279,32.10564987,33.64325943,30.73972813,31.32593728,29.740387100000003,30.84215807,28.72451254,29.49999651,29.28811506,29.96840316,30.89379131,32.73514528,32.72232762,30.40743203,30.70583156,31.22110328,28.18411303,26.44020001,25.97812447,27.48172332,26.59769632,27.4166119,28.12770222,27.89683339,1.0034445103092784,0.9827880354906056,1.067511552540014,1.0011341007355292,0.999942720825274,0.9986618247325362,0.9872586060885609,0.998612627782725,1.0052232874427731,0.9970062788033099,1.000013016139879,1.0043034213611202,0.9973789076388888,0.9956124370570368,0.9995943706484641,0.9996131807871915,1.0027196140863357,1.0050704722136934,0.999608443466789,1.0002444746710526,0.9943598303108808,1.0071323638709677,0.998374531703861,1.0000075646747353,0.997240862571977,1.0029826029197082,0.9969151544227887,0.9998764369073668,0.9988530617897727,1.0034832154676259
15,15,600519,789.3,737.5,777.3,794.0,853.99,865.0,914.0,952.56,945.0,974.0,907.12,906.79,878.5,890.0,862.13,913.0,976.3,984.0,999.82,986.09,955.87,965.03,954.45,962.03,1054.6,1130.1,1142.0,1142.49,1099.0,1157.42,788.9661887999999,738.3822554999999,776.7599703,795.2272835,854.1899030999999,865.2452437999999,916.0649614,953.7006127000001,947.2254965,976.5023828,907.6142643999999,908.6313999,878.6815671,891.6049810000001,863.5226126,913.4143046,978.5169481,984.8689627,1001.9873,986.9581014,957.5651713999999,965.7248968,955.9887417000001,962.7567637,1056.15894,1133.742191,1144.073556,1145.907978,1100.593676,1159.261614,0.9995770794374762,1.0011962786440678,1.0532338580338982,1.0015456971032746,1.0002340813124275,1.0002835188439305,1.0022592575492342,1.0011974182203747,1.0023550227513227,1.0025691815195072,1.000544872122762,1.0020306795399156,1.000206678542971,1.0018033494382024,1.0016153162516095,1.0004537837897043,1.0022707652360956,1.0008830921747967,1.017381334927106,1.0008803470271477,1.001773432998211,1.0007200779250387,1.001612176331919,1.0007554480629501,1.001478228712308,1.003222892664366,1.0018157232924694,1.0029916918310007,1.0014501146496815,1.0015911371844273
16,16,600585,36.68,35.15,36.72,37.35,38.18,41.95,41.7,42.58,39.49,39.95,38.99,38.95,39.15,39.55,38.28,40.79,40.16,41.5,43.3,41.23,40.51,41.26,38.57,38.36,38.84,40.12,39.43,43.16,42.42,41.93,36.66341915,35.17022245,36.70617486,37.39072329,38.17193366,41.97919045,41.75759505,42.62749009,39.52244881,39.98850149,39.00129643,38.978112599999996,39.15958659,39.57849411,38.29707786,40.81156611,40.19321355,41.51857657,43.35738354,41.24777243,40.53471227,41.27769331,38.58208923,38.35489329,38.84622294,40.12424309,39.444976399999994,43.18019424,42.432145299999995,41.96363348,0.9995479593784079,1.000575318634424,1.0442723999999999,1.0010903156626505,0.9997887286537455,1.0006958390941596,1.0013811762589928,1.0011153144668858,1.0008216968852874,1.0009637419274091,1.0002897263400872,1.000721761232349,1.0002448681992337,1.0007204579013906,1.000446130094044,1.0005287107134102,1.0008270306274902,1.000447628192771,1.0442887767816362,1.0004310557846228,1.0006100288817577,1.0004288247697528,1.0003134360902255,0.9998668740875912,1.000160219876416,1.0001057599700898,1.0003798224702003,1.0004678924930492,1.0002863107024986,1.000802134032912
17,17,600690,17.17,15.72,16.86,16.67,17.11,18.24,17.22,18.36,16.75,17.18,16.43,15.78,16.12,15.9,15.56,16.33,16.98,17.29,17.78,17.31,16.81,16.83,16.18,15.19,14.92,15.24,15.91,16.02,15.94,15.83,17.1414512,15.60760899,16.86607825,16.62181314,17.05659245,18.30434617,17.26389065,18.37788024,16.73436152,17.19432502,16.42275607,15.755354500000001,16.15769395,15.903418099999998,15.56626542,16.29792146,16.94339261,17.28765299,17.82582411,17.27960935,16.79189684,16.81778447,16.20452151,15.18423988,14.89355804,15.20644364,15.91439962,15.98641096,15.90347837,15.79252582,0.9983372859638904,0.9928504446564884,1.0729057410941476,0.9971093665266946,0.99687857685564,1.0035277505482456,1.002548818234611,1.0009738692810457,0.999066359402985,1.0008338195576252,0.9995591034692635,0.9984381812420787,1.0023383343672456,1.0002149748427671,1.0004026619537274,0.9980356068585428,0.9978440877502944,0.9998642562174669,1.0311303749740524,0.998244329867129,0.9989230719809638,0.9992741812240048,1.001515544499382,0.9996207952600396,0.9982277506702413,0.9977981391076115,1.0002765317410434,0.9979033058676655,0.9977088061480552,0.9976327113076437
18,18,600703,14.03,15.51,14.85,15.33,14.67,15.04,14.01,13.15,14.16,13.06,12.16,9.97,9.66,10.72,10.28,10.67,11.51,11.28,11.82,11.08,10.29,11.47,11.39,10.38,11.59,11.02,10.82,11.8,13.54,15.34,13.96550445,15.48374819,14.82814766,15.29317717,14.61256503,14.93586225,13.98941181,13.10100745,14.12540889,13.0475475,12.10140892,9.893603395,9.585405756,10.64794765,10.20780743,10.61094374,11.44721014,11.230678,11.75824043,11.036275,10.21763247,11.43461055,11.32649669,10.33819059,11.5286138,10.98569269,10.75963051,11.77114594,13.52488658,15.31487952,0.9954030256593015,0.9983074268214056,0.956037889103804,0.9975979889106328,0.9960848691206544,0.9930759474734043,0.9985304646680943,0.9962743307984792,0.9975571249999999,0.9990465160796325,0.9951816546052632,0.9923373515546638,0.9922780285714285,0.9932786986940298,0.9929773764591441,0.9944652052483599,0.9945447558644657,0.9956274822695035,1.0469751185102094,0.9960537003610108,0.9929671982507289,0.9969146076721883,0.994424643546971,0.9959721184971098,0.9947035202761001,0.9968868139745918,0.9944205646950092,0.997554740677966,0.9988837946824225,0.9983624198174706
19,19,600837,13.02,14.31,13.76,13.97,14.03,15.82,14.61,14.52,14.3,13.98,12.77,12.09,12.02,12.1,12.58,12.74,14.22,14.19,13.86,13.88,14.09,13.81,13.29,12.58,12.79,13.68,13.66,15.11,16.54,15.18,13.00509032,14.23070864,13.83364841,14.04541748,14.14146252,15.87227071,14.69993145,14.53807305,14.37843068,14.04954182,12.79639834,12.09521317,12.03914363,12.10350393,12.58830916,12.76695775,14.23851801,14.22832336,13.87335989,13.91625729,14.10207425,13.84648886,13.29591185,12.60713703,12.78902222,13.71389421,13.66751571,15.151634,16.59125816,15.19879192,0.9988548632872505,0.9944590244584206,0.9667119783368274,1.005398531138153,1.0079445844618675,1.003304090391909,1.0061554722792607,1.0012447004132232,1.0054846629370628,1.0049743791130186,1.002067215348473,1.0004311968569064,1.0015926480865225,1.0002895809917356,1.0006605055643878,1.0021159929356358,1.0013022510548524,1.0027007300916138,0.9750523332216425,1.002612196685879,1.0008569375443577,1.002642205648081,1.0004448344620016,1.0021571565977743,0.9999235512118844,1.0024776469298244,1.0005501983894582,1.0027553937789544,1.0030990423216444,1.0012379393939395
20,20,600887,27.81,26.35,26.59,27.92,29.11,29.78,30.0,31.14,30.0,31.0,30.26,30.41,29.9,30.01,30.0,31.78,32.32,33.41,33.47,33.83,32.25,32.34,31.14,27.4,28.7,28.6,28.65,29.13,29.75,28.89,27.77955164,26.31767664,26.54968836,27.89644176,29.09866433,29.77606026,29.9991261,31.14320857,29.99517895,31.00474507,30.32372482,30.40695352,29.91030057,29.99506962,30.00980595,31.77958356,32.28915448,33.46645011,33.45614654,33.809917600000006,32.32610032,32.31032789,31.13202363,27.43243335,28.68333066,28.57768937,28.63046209,29.10519255,29.73837875,28.88722764,0.9989051290902554,0.9987733070208727,1.0075783058823529,0.9991562234957019,0.9996105918928203,0.9998677051712559,0.9999708700000001,1.0001030369299935,0.9998392983333333,1.0001530667741936,1.0021059094514209,0.9998998197961196,1.0003445006688965,0.9995024865044985,1.0003268650000001,0.9999868961611076,0.9990456212871287,1.001689617180485,0.999692122410171,0.9994063730416792,1.0023596998449613,0.9990824950525665,0.9997438545279383,1.0011836989051095,0.9994191867595819,0.999219908041958,0.9993180485165796,0.9991483882595263,0.9996093697478992,0.9999040373831776
21,21,601066,22.13,28.04,26.91,24.5,25.55,25.81,24.56,24.14,27.75,23.36,21.84,21.11,22.5,23.0,22.73,20.3,24.53,21.08,20.95,19.73,20.11,19.43,17.89,16.92,16.92,18.64,19.22,23.75,25.96,24.95,21.73772957,30.17593199,26.75043894,24.48657631,26.26406987,25.74841267,24.91127183,24.35233882,28.12536216,23.28581437,22.22142845,20.99187747,22.62451495,23.011163600000003,22.71277788,20.22671746,24.98840339,20.94181807,20.920641,19.66108041,20.13636559,19.52169353,17.55295807,16.79138186,16.79538632,18.69488335,19.11112201,24.21513893,26.17522585,25.1380906,0.982274268865793,1.0761744646932954,0.9540099479315264,0.9994520942857142,1.0279479401174167,0.997613819062379,1.014302598941368,1.00879614001657,1.0135265643243243,0.9968242452910959,1.0174646726190477,0.9944044277593557,1.0055339977777777,1.0004853739130437,0.999242317641883,0.9963900226600985,1.0186874598450875,0.9934448799810247,0.9989887664036994,0.9965068631525595,1.001311068622576,1.0047191729284612,0.9811603169368361,0.9923984550827423,0.9926351252955081,1.0029443857296139,0.9943351722164412,1.0195847970526315,1.0082906721879814,1.0075387014028057
