,code,3月3日,3月10日,3月17日,3月24日,3月31日,4月7日,4月14日,4月21日,4月28日,5月5日,5月12日,5月19日,5月26日,6月2日,6月9日,6月16日,6月23日,6月30日,7月7日,7月14日,7月21日,7月28日,8月4日,8月11日,8月18日,8月25日,9月1日,9月8日,9月15日,9月22日,3月4日,3月11日,3月18日,3月25日,4月1日,4月8日,4月15日,4月22日,4月29日,5月6日,5月13日,5月20日,5月27日,6月3日,6月10日,6月17日,6月24日,7月1日,7月8日,7月15日,7月22日,7月29日,8月5日,8月12日,8月19日,8月26日,9月2日,9月9日,9月16日,9月23日
31,601319,8.76,11.55,9.55,9.99,9.59,10.03,9.55,9.61,9.15,8.59,8.36,8,8.25,9.06,8.57,8.93,9.87,9.49,9.44,9.25,9.12,9.04,8.78,8.22,8.33,8.57,8.4,9.15,9.42,9.15,8.876562922,11.65515349,9.441346304,10.04245934,9.844248013,9.989670532,9.721939956,9.598829615,9.127859476,8.695489265,8.409653515,7.942820967,8.245033801,9.104420786,8.549750154,8.860702798,9.881593596,9.452101833,9.454915408,9.2821163,9.128232526,9.013863177,8.721118678,8.118990415,8.331390056,8.563204425,8.389954962,9.138163699,9.469065041,9.149572205
32,601328,6.59,6.3,6.38,6.39,6.24,6.33,6.29,6.42,6.18,6.26,6.05,5.96,5.99,5.96,6.07,6.17,6.26,6.12,6.18,5.8,5.79,5.78,5.68,5.52,5.45,5.47,5.41,5.57,5.63,5.56,6.590135849,6.305266566,6.378144036,6.395420166,6.237035639,6.328389922,6.293893473,6.419195653,6.183298323,6.26374832,6.045480685,5.961285891,5.984936452,5.961387407,6.07272179,6.166154376,6.264002115,6.115386646,6.183621232,5.792453973,5.790910919,5.772706029,5.680414034,5.51081945,5.448714082,5.46088061,5.408781625,5.561181812,5.621871874,5.559965969
33,601336,52.33,49.15,51.25,55.55,53.69,59.11,57.19,64.43,59.1,57.45,53.24,49.86,49.84,51.6,49.17,50.6,54.7,55.03,54.73,54.76,54.2,55.53,54.64,49.87,50.16,52.18,48.23,51.73,52.51,50.58,52.2839485,49.15984482,51.19352514,55.6197919,54.01262131,59.41962483,57.03315637,64.70933642,58.99704905,57.36233923,53.3275591,49.71808695,49.870615,51.70860077,49.19355689,50.47913462,54.72379876,55.03913142,54.88774882,54.63422484,54.46994585,55.30434727,54.68359362,49.60449795,50.43636659,51.98962295,48.32912081,51.58359437,52.38491061,50.68874153
34,601390,7.46,7.24,7.29,7.38,7.27,7.49,7.4,7.55,7,7.04,6.73,6.55,6.45,6.43,6.38,6.47,6.61,6.52,6.6,6.43,6.48,6.44,6.2,5.92,5.93,6,6.01,6.29,6.35,6.27,7.456183988,7.265171306,7.292204924,7.374184074,7.257209753,7.494351888,7.390060986,7.553573989,7.00332835,7.021289996,6.719895595,6.54829081,6.445737353,6.413076105,6.366345852,6.478020174,6.594957103,6.520200522,6.590564108,6.427475255,6.462524738,6.43602894,6.194901088,5.913757979,5.912940651,5.998697855,5.998677803,6.28738753,6.344532695,6.253784411
35,601398,5.85,5.59,5.58,5.58,5.57,5.81,5.73,5.98,5.71,5.81,5.61,5.57,5.7,5.61,5.73,5.74,5.85,5.89,5.67,5.62,5.6,5.69,5.56,5.46,5.5,5.42,5.39,5.52,5.57,5.53,5.857823222,5.597769962,5.555299101,5.571929912,5.571682212,5.818519097,5.738874328,5.945879019,5.706785987,5.822103736,5.607259075,5.570822341,5.689836954,5.61028316,5.729158388,5.725616556,5.864038763,5.890042415,5.669653963,5.625094927,5.60857323,5.678134315,5.555200523,5.457334437,5.500572128,5.406597014,5.387767268,5.512071293,5.569432867,5.53986981
36,601601,35.3,32.66,32.89,33.14,34.04,35.62,34.99,39.39,36.21,36.18,33.75,32.57,32.9,34.42,33.88,34.85,37.06,36.51,36.2,37.67,38.78,38.64,37.56,36.85,36.77,40.02,37.8,39.13,38.79,37.2,35.55413552,32.47343639,32.94426965,33.04147493,34.15387667,35.63577704,34.99571954,39.37627813,36.11515995,36.02355242,33.88367811,32.48821672,32.91847545,34.51074014,33.90442235,34.75940596,37.06473444,36.58107985,36.23271782,37.69386872,38.7512891,38.7509535,37.40595168,36.82933777,36.79336759,40.1553048,37.7112863,39.21074738,38.84220173,37.17351687
37,601628,31.1,28.16,28.75,28.89,28.32,29.35,28.59,31.38,30.08,30.3,27.01,25.35,25.3,26.12,26.07,26.58,28.26,28.32,29.37,30.67,30.13,30.3,29.03,28.17,28.25,29.41,28.85,29.6,29.8,28.97,31.00694568,27.87094861,28.74425391,28.92708217,28.28885132,29.37264738,28.59481515,31.42406336,30.11196464,30.38306054,27.01085764,25.3664367,25.28173589,26.13595921,26.08585211,26.57821471,28.29528694,28.32782983,29.40806088,30.70153656,30.16984859,30.32703389,29.06495763,28.17870655,28.27387248,29.42524983,28.88458457,29.6127711,29.81296891,29.00377674
38,601668,6.23,6.03,6.12,6.25,6.12,6.31,6.4,6.6,6.1,6.13,5.73,5.63,5.51,5.61,5.67,5.73,5.86,5.75,6.02,5.85,6,6.03,5.78,5.55,5.45,5.56,5.47,5.77,5.83,5.58,6.24156431,5.98179781,6.126365131,6.236286,6.138972554,6.309694015,6.391999049,6.6136925,6.072782376,6.112393976,5.740920199,5.600028187,5.513499517,5.591560116,5.652023031,5.713755092,5.842167912,5.742436564,6.000740409,5.862036958,5.992271785,6.035810639,5.760723576,5.549212673,5.429453291,5.563667478,5.450605917,5.776547338,5.84247642,5.555992179
39,601688,23.75,22.01,22.52,22.94,22.41,23.62,22.11,21.92,21.3,20.4,18.99,17.92,18.6,18.63,18.75,19.28,23.3,22.32,21.67,20.77,21.17,21.41,19.53,19.13,19.06,19.77,18.96,20.42,20.81,19.67,23.94457708,21.81336216,22.65911987,22.94256585,22.59606153,23.64828701,22.17025502,21.94155881,21.32788931,20.4683217,19.00012467,17.85223527,18.61130903,18.64575933,18.70790665,19.22103032,23.33609459,22.30646018,21.67016147,20.8403865,21.23882169,21.43305731,19.437984,19.13751074,19.02675054,19.86783619,18.87473382,20.49235405,20.86675594,19.61382779
40,601766,9.51,9.14,9.21,9.24,9.1,9.39,9.23,9.4,8.66,8.64,8.21,7.99,7.79,7.91,7.87,8.04,8.18,8.09,8.17,7.88,7.8,8.05,7.71,7.32,7.23,7.28,7.28,7.52,7.69,7.72,9.518505827,9.193401391,9.177142511,9.230723744,9.14181326,9.427918955,9.218645235,9.395743543,8.662795966,8.603984716,8.197776624,7.983511579,7.777554077,7.885353424,7.853747667,8.039557913,8.174767209,8.099830024,8.147692883,7.873493701,7.773349606,8.036190384,7.706720661,7.317097782,7.195469961,7.274568649,7.275152863,7.516408635,7.685324201,7.691369631
